SFS :
allele count	avg# mutations	standard dev	coeff of variation (aka relative standard deviation)
443	0.000114154	1.74989e-06	0.0153291
444	0.000113634	1.73052e-06	0.015229
445	0.000113125	1.71244e-06	0.0151376
446	0.000112621	1.69567e-06	0.0150564
447	0.000112122	1.68027e-06	0.0149861
448	0.000111621	1.66622e-06	0.0149275
449	0.000111124	1.65365e-06	0.0148811
450	0.000110632	1.64259e-06	0.0148473
451	0.000110144	1.63295e-06	0.0148256
452	0.00010966	1.62472e-06	0.0148159
453	0.00010918	1.61777e-06	0.0148175
454	0.000108703	1.61202e-06	0.0148296
455	0.00010823	1.60732e-06	0.014851
456	0.000107773	1.60375e-06	0.0148809
457	0.000107306	1.60077e-06	0.0149179
458	0.000106841	1.59841e-06	0.0149607
459	0.000106379	1.59658e-06	0.0150085
460	0.000105925	1.59522e-06	0.0150599
461	0.000105473	1.59415e-06	0.0151143
462	0.000105023	1.59327e-06	0.0151707
463	0.000104575	1.59251e-06	0.0152284
464	0.000104127	1.59184e-06	0.0152874
465	0.000103687	1.59132e-06	0.0153474
466	0.000103247	1.5909e-06	0.0154086
467	0.000102808	1.59055e-06	0.0154711
468	0.000102381	1.59053e-06	0.0155354
469	0.000101949	1.5906e-06	0.0156019
470	0.000101516	1.59089e-06	0.0156713
471	0.000101089	1.59158e-06	0.0157444
472	0.000100661	1.59262e-06	0.0158216
473	0.000100233	1.59406e-06	0.0159036
474	9.98095e-05	1.59604e-06	0.0159908
475	9.93855e-05	1.59845e-06	0.0160834
476	9.89603e-05	1.60132e-06	0.0161814
477	9.854e-05	1.60468e-06	0.0162846
478	9.81185e-05	1.60842e-06	0.0163927
479	9.77016e-05	1.61249e-06	0.0165042
480	9.72832e-05	1.61672e-06	0.0166187
481	9.68692e-05	1.62104e-06	0.0167343
482	9.64538e-05	1.6252e-06	0.0168496
483	9.60426e-05	1.62909e-06	0.0169622
484	9.56299e-05	1.63247e-06	0.0170707
485	9.52214e-05	1.63519e-06	0.0171725
486	9.48112e-05	1.63697e-06	0.0172655
487	9.44052e-05	1.63774e-06	0.017348
488	9.39975e-05	1.63721e-06	0.0174176
489	9.3594e-05	1.63536e-06	0.0174729
490	9.31946e-05	1.63207e-06	0.0175125
491	9.27936e-05	1.62717e-06	0.0175353
492	9.23967e-05	1.62071e-06	0.0175408
493	9.19982e-05	1.6126e-06	0.0175286
494	9.1604e-05	1.60302e-06	0.0174995
495	9.12083e-05	1.59194e-06	0.0174539
496	9.08168e-05	1.57959e-06	0.0173931
497	9.04296e-05	1.56616e-06	0.0173191
498	9.00411e-05	1.55176e-06	0.0172339
499	8.9657e-05	1.53672e-06	0.01714
500	8.92718e-05	1.52118e-06	0.0170399
501	8.8891e-05	1.50554e-06	0.016937
502	8.85146e-05	1.49004e-06	0.0168339
503	8.81374e-05	1.47488e-06	0.0167338
504	8.77648e-05	1.46036e-06	0.0166395
505	8.73914e-05	1.44666e-06	0.0165538
506	8.70227e-05	1.43401e-06	0.0164786
507	8.66587e-05	1.42261e-06	0.0164163
508	8.62941e-05	1.41247e-06	0.0163681
509	8.59342e-05	1.40375e-06	0.0163351
510	8.55738e-05	1.39639e-06	0.0163179
511	8.52183e-05	1.39047e-06	0.0163166
512	8.48623e-05	1.38585e-06	0.0163306
513	8.4511e-05	1.38254e-06	0.0163593
514	8.41645e-05	1.38047e-06	0.0164021
515	8.38175e-05	1.3794e-06	0.0164572
516	8.34753e-05	1.37931e-06	0.0165236
517	8.31326e-05	1.38e-06	0.0166
518	8.27945e-05	1.38143e-06	0.016685
519	8.24559e-05	1.38339e-06	0.0167773
520	8.21218e-05	1.38589e-06	0.016876
521	8.17872e-05	1.38875e-06	0.01698
522	8.1457e-05	1.39199e-06	0.0170887
523	8.11262e-05	1.39549e-06	0.0172015
524	8.07997e-05	1.39928e-06	0.0173179
525	8.04726e-05	1.40328e-06	0.0174379
526	8.01498e-05	1.40754e-06	0.0175614
527	7.98263e-05	1.41196e-06	0.017688
528	7.95022e-05	1.41656e-06	0.0178178
529	7.91824e-05	1.42139e-06	0.0179508
530	7.8862e-05	1.42637e-06	0.0180869
531	7.85411e-05	1.43144e-06	0.0182254
532	7.82245e-05	1.43667e-06	0.018366
533	7.79075e-05	1.44191e-06	0.018508
534	7.75854e-05	1.44701e-06	0.0186506
535	7.72725e-05	1.45215e-06	0.0187926
536	7.69595e-05	1.45708e-06	0.0189331
537	7.66463e-05	1.46167e-06	0.0190704
538	7.63378e-05	1.46594e-06	0.0192033
539	7.60295e-05	1.46968e-06	0.0193304
540	7.57213e-05	1.4728e-06	0.0194502
541	7.54135e-05	1.47522e-06	0.0195618
542	7.51062e-05	1.47687e-06	0.0196637
543	7.4804e-05	1.47778e-06	0.0197554
544	7.45024e-05	1.47785e-06	0.0198362
545	7.42017e-05	1.47705e-06	0.0199059
546	7.38928e-05	1.47525e-06	0.0199647
547	7.35941e-05	1.47283e-06	0.0200129
548	7.32965e-05	1.46968e-06	0.0200511
549	7.30002e-05	1.46591e-06	0.0200809
550	7.27052e-05	1.46163e-06	0.0201035
551	7.24118e-05	1.45695e-06	0.0201203
552	7.212e-05	1.45199e-06	0.020133
553	7.183e-05	1.4469e-06	0.0201434
554	7.15418e-05	1.44179e-06	0.0201531
555	7.12512e-05	1.43668e-06	0.0201636
556	7.09627e-05	1.43176e-06	0.0201762
557	7.06765e-05	1.4271e-06	0.0201919
558	7.03969e-05	1.42282e-06	0.0202114
559	7.01112e-05	1.4187e-06	0.020235
560	6.9828e-05	1.41491e-06	0.0202628
561	6.95477e-05	1.41141e-06	0.0202941
562	6.92659e-05	1.40809e-06	0.0203288
563	6.89872e-05	1.40499e-06	0.020366
564	6.87116e-05	1.40204e-06	0.0204047
565	6.8435e-05	1.39913e-06	0.0204446
566	6.81619e-05	1.39627e-06	0.0204846
567	6.78881e-05	1.39339e-06	0.0205248
568	6.76139e-05	1.39046e-06	0.0205647
569	6.73435e-05	1.38761e-06	0.0206049
570	6.7073e-05	1.3848e-06	0.0206462
571	6.68025e-05	1.38213e-06	0.0206898
572	6.65363e-05	1.37977e-06	0.0207372
573	6.62704e-05	1.37781e-06	0.0207907
574	6.6005e-05	1.37637e-06	0.0208526
575	6.57402e-05	1.37565e-06	0.0209255
576	6.54761e-05	1.37578e-06	0.0210119
577	6.5217e-05	1.377e-06	0.0211142
578	6.49588e-05	1.3794e-06	0.021235
579	6.47018e-05	1.38305e-06	0.0213757
580	6.44461e-05	1.38803e-06	0.0215379
581	6.41879e-05	1.39431e-06	0.0217223
582	6.39312e-05	1.40191e-06	0.0219284
583	6.36761e-05	1.41079e-06	0.0221557
584	6.34228e-05	1.4208e-06	0.022402
585	6.31714e-05	1.4318e-06	0.0226654
586	6.29181e-05	1.44348e-06	0.0229422
587	6.26669e-05	1.45569e-06	0.023229
588	6.2414e-05	1.46805e-06	0.0235212
589	6.21635e-05	1.48042e-06	0.0238149
590	6.19155e-05	1.49246e-06	0.0241048
591	6.16662e-05	1.50381e-06	0.0243863
592	6.14159e-05	1.51422e-06	0.0246552
593	6.11684e-05	1.52349e-06	0.0249065
594	6.09164e-05	1.53121e-06	0.0251363
595	6.06676e-05	1.53738e-06	0.025341
596	6.04185e-05	1.54172e-06	0.0255174
597	6.01728e-05	1.54422e-06	0.025663
598	5.99272e-05	1.54466e-06	0.0257756
599	5.96817e-05	1.54302e-06	0.0258542
600	5.94367e-05	1.53928e-06	0.0258978
601	5.91889e-05	1.5334e-06	0.0259069
602	5.89419e-05	1.52552e-06	0.0258817
603	5.86962e-05	1.51577e-06	0.0258239
604	5.8452e-05	1.50429e-06	0.0257355
605	5.82095e-05	1.49124e-06	0.0256185
606	5.7962e-05	1.47665e-06	0.0254762
607	5.77204e-05	1.461e-06	0.0253117
608	5.74778e-05	1.44434e-06	0.0251286
609	5.72382e-05	1.42699e-06	0.0249308
610	5.69983e-05	1.40911e-06	0.0247221
611	5.67583e-05	1.39092e-06	0.024506
612	5.65222e-05	1.37272e-06	0.0242865
613	5.62866e-05	1.35463e-06	0.0240667
614	5.60518e-05	1.33684e-06	0.02385
615	5.58182e-05	1.31948e-06	0.0236389
616	5.5586e-05	1.3027e-06	0.0234357
617	5.53555e-05	1.28658e-06	0.0232422
